Ticker (10Y Data),Dividends Count (Per Year),Latest Dividend,Years Dividend Unpaid,Dividend Percentage Increasing Or Decreasing,All Years Avg Dividend,Dividend Yield (%),Price-to-Earnings Ratio,Free Cash Flow (Million $)
FMC,4.0,0.58,0,Decreasing,0.3,0.41,93.27,1667.5
FOXA,2.0,0.26,0,Decreasing,0.24,0.75,32.31,60.90225
FOX,2.0,0.26,0,Decreasing,0.24,0.78,30.73,-374.2495
FRT,4.0,1.09,0,Decreasing,0.98,1.05,95.15,1335.6
FSLR,0.0,0.0,11,Decreasing,,,98.32,1181.325
FTNT,0.0,0.0,11,Decreasing,,,41.96,8689.0
FTV,3.75,0.08,0,Decreasing,0.06,0.11,64.79,787.25
F,3.45,0.8,0,Decreasing,0.16,1.84,9.74,3386.5
GDDY,0.0,0.0,9,Decreasing,,,75.2,1576.0
GD,3.91,1.32,0,Decreasing,0.92,0.64,181.9,1115.75
GEN,4.09,0.125,0,Decreasing,0.4,2.83,18.86,3133.0
GE,4.0,0.063847,0,Decreasing,0.54,0.54,56.59,2454.35
GILD,3.18,0.75,2,Decreasing,0.61,0.99,61.69,1051.0
GIS,4.0,0.59,0,Decreasing,0.47,1.01,58.15,1415.31275
GLW,4.0,0.28,0,Decreasing,0.18,0.77,30.43,-4902.5
GL,4.0,0.225,0,Decreasing,0.16,0.22,95.11,272.62675
GM,2.82,0.09,1,Decreasing,0.3,0.99,38.76,59840.0
GNRC,0.09,0.0,0,Increasing,5.0,12.89,184.85,59840.0
GOOGL,0.0,0.0,11,Decreasing,,,98.15,1227.1205
GOOG,0.0,0.0,11,Decreasing,,,108.48,1846.1275
GPC,4.0,0.95,0,Decreasing,0.73,0.83,121.39,843.486
GPN,4.0,0.25,0,Decreasing,0.09,0.08,144.7,-8289.0
GRMN,4.0,0.73,0,Decreasing,0.57,1.03,98.58,1067.75
GS,4.0,2.75,0,Decreasing,1.15,0.51,269.1,1393.75
GWW,4.0,1.86,0,Decreasing,1.36,0.48,441.86,562.675
HAL,4.0,0.16,0,Decreasing,0.14,0.45,25.0,2337.25
HAS,3.91,0.7,0,Decreasing,0.58,0.94,72.66,5148.25
HBAN,4.0,0.155,0,Decreasing,0.11,1.13,11.26,14955.75
HCA,2.09,0.6,5,Decreasing,0.44,0.26,187.52,333.0
HD,4.0,2.09,0,Decreasing,1.14,0.66,261.19,3888.75
HES,4.0,0.438,0,Decreasing,0.27,0.43,85.46,582.25
HIG,4.0,0.47,0,Decreasing,0.27,0.6,57.17,981.0
HII,4.0,1.3,0,Decreasing,0.75,0.45,194.12,1446.475
HLT,2.36,0.15,2,Decreasing,0.15,0.2,124.57,4813.5
HOLX,0.0,0.0,11,Decreasing,,,65.33,1574.25
HON,4.0,1.08,0,Decreasing,0.73,0.59,175.42,4049.25
HPE,3.67,0.13,0,Decreasing,0.09,0.76,13.16,790.934
HPQ,4.0,0.276,0,Decreasing,0.15,0.89,23.96,483.77025
HRL,4.0,0.275,0,Decreasing,0.19,0.56,41.08,191.5
HSIC,0.0,0.0,11,Decreasing,,,71.23,1551.36875
HST,3.36,0.45,0,Decreasing,0.19,1.36,14.77,546.95
HSY,4.0,1.192,0,Decreasing,0.72,0.64,167.55,3005.5
HUBB,4.0,1.22,0,Decreasing,0.79,0.64,180.22,303.5
HUM,4.0,0.885,0,Decreasing,0.5,0.2,401.89,11394.75
