Ticker,Current Assets,Quick Ratio,Debt To Equity Ratio,Total Debt To Total Capitalization Ratio,Debt To Assets Ratio,Net Debt To Equity Ratio,Return On Equity,Return On Assets,Return On Investment,Gross Profit Margin,Asset Turnover,Inventory Turnover,Receivables Turnover
D,0.8106861340656779,0.6821900640872551,1.4954202037062467,0.6594346220874108,0.3980955512068075,1.4858916574277665,0.05737689299127515,0.015210620983229327,0.023276114606044528,0.4825359709348002,0.1318602460769701,4.075092205410676,6.044243659950152
EA,1.5494499390192984,0.0,0.25800318513107096,0.2066349547527219,0.14464993194634676,0.0,0.12241092869705131,0.06865246899736405,0.09802527068852206,0.7503076163514079,0.5113616464392527,0.0,11.450100801699005
EBAY,2.0950322619351485,0.0,1.5958082090338859,0.6531658573947307,0.40288042346959396,1.2129163239012895,0.7923630933087775,0.21791857973943027,0.3321634902872661,0.7474659727184512,0.44735910571345394,0.0,86.82584820104131
ECL,1.4170057841481365,1.0098878025513112,1.183686327871824,0.5729064757882515,0.411112638161092,1.0080516881499997,0.07046545914375371,0.0251182352721602,0.03263285602914502,0.39903978034944143,0.653288059838649,3.584155516786373,5.246696694825736
ED,0.97490155428314,0.9136735442245086,1.2283627099276613,0.6031165454659693,0.38278287269925976,1.1352458269221541,0.08061553205801263,0.025210679532949247,0.0370658135699673,0.5349782263204141,0.21483290027985547,17.2593006771126,6.862679956850316
EFX,0.7097786969419404,0.0,1.3772780783445708,0.6528412042646682,0.4753330796134512,1.2009845467820908,0.16505334405717317,0.05655201325503498,0.06935112721677578,0.5770538801865082,0.4369281370913982,0.0,6.270522620080218
EG,0.0,0.0,0.28238946216438515,0.26208744582533594,0.07167302028972382,0.15763951273486057,0.11255557093845064,0.0294292324093208,0.08787218164554618,0.0,0.2946430436612536,0.0,2.0612238552864213
EIX,0.6514326460085775,0.6026080846246504,1.757716639611362,0.75024238315754,0.39979449898724984,1.6512332692669904,0.05801180157840833,0.013174696314713226,0.023327271242518873,0.3802835401048382,0.20390640411500066,12.927406179113358,10.23526185479889
ELV,0.0,0.0,0.635549236436176,0.3992590165544062,0.23322726615900574,0.4663126702197311,0.15558365133029553,0.05707321528900682,0.09516943277629443,0.0,1.4816122345613363,0.0,22.82022740078637
EL,1.5741508007642635,1.1156961762009308,1.4470055743082615,0.7480938500658553,0.4054556440653549,0.4435567756045529,0.25370255756745674,0.07647036125722076,0.14183371325892155,0.7376328245627503,0.7464443802185317,4.623311139986929,10.102559959892478
