Ticker,R2_Sum,GDP,Inflation,Unemployment,CCI
['FI'],0.9107107692307692,0.20201,0.20662,0.22236,0.21517
['FMC'],0.8045323076923078,0.25626,0.2653,0.24418,0.23426
['FOXA'],0.8267084615384614,0.18955,0.17489,0.22301,0.25869
['FOX'],0.841603076923077,0.19158,0.1958,0.20466,0.2541
['FRT'],0.8267938461538462,0.19233,0.18166,0.19637,0.27579
['FSLR'],0.753166923076923,0.17166,0.18057,0.17784,0.39301
['FTNT'],0.8292753846153845,0.23027,0.2138,0.27251,0.2065
['FTV'],0.8548438461538462,0.25661,0.23784,0.25783,0.24773
['F'],0.7895853846153847,0.26903,0.24034,0.26955,0.22109
['GDDY'],0.831656153846154,0.18886,0.18409,0.20713,0.26607
['GD'],0.8270607692307693,0.25038,0.22946,0.27598,0.24417
['GEHC'],0.7412153846153846,0.24016,0.26088,0.26086,0.23809
['GEN'],0.8256930769230768,0.2093,0.19665,0.19994,0.24026
['GE'],0.8340099999999999,0.25195,0.23845,0.28818,0.22143
['GILD'],0.8042053846153846,0.24605,0.21121,0.25021,0.29253
['GIS'],0.84449,0.20741,0.22809,0.28319,0.28131
['GLW'],0.7848723076923078,0.23767,0.2489,0.24958,0.26384
['GL'],0.9601484615384616,0.16219,0.15365,0.14848,0.15106
['GM'],0.7994415384615384,0.24506,0.23007,0.26492,0.25995
['GNRC'],0.8371953846153848,0.23411,0.24158,0.23112,0.29318
['GOOGL'],0.7831576923076923,0.24303,0.23443,0.22693,0.21868
['GOOG'],0.78701,0.21955,0.23716,0.23523,0.23114
['GPC'],0.8069715384615385,0.2217,0.23238,0.2603,0.28561
['GPN'],0.8689823076923078,0.18289,0.18373,0.20068,0.27884
['GRMN'],0.8427338461538461,0.21921,0.19533,0.19694,0.31159
['GS'],0.8844807692307692,0.16865,0.16231,0.18091,0.18044
['GWW'],0.868953076923077,0.24092,0.25562,0.25198,0.25149
['HAL'],0.8742423076923077,0.22866,0.25784,0.26655,0.24695
['HAS'],0.7811015384615385,0.26567,0.27799,0.25139,0.20495
['HBAN'],0.8181692307692308,0.16121,0.18227,0.19104,0.15779
['HCA'],0.84306,0.21259,0.21639,0.24936,0.32167
['HD'],0.8177146153846154,0.19991,0.19596,0.25668,0.34745
['HES'],0.873623846153846,0.24454,0.22841,0.2467,0.28035
['HIG'],0.8908646153846154,0.1454,0.15116,0.16386,0.23189
['HII'],0.8042969230769231,0.24013,0.24827,0.25115,0.26045
['HLT'],0.8565561538461538,0.2102,0.21428,0.19197,0.2297
['HOLX'],0.8932984615384616,0.25765,0.29074,0.24412,0.20749
['HON'],0.8046892307692308,0.24707,0.23052,0.27068,0.25173
['HPE'],0.7899338461538462,0.24308,0.23496,0.27408,0.24788
['HPQ'],0.8428338461538462,0.23738,0.23295,0.26798,0.26169
['HRL'],0.7452138461538461,0.26745,0.23613,0.2482,0.24821
['HSIC'],0.7853630769230768,0.24353,0.25227,0.25646,0.24775
['HST'],0.9377376923076922,0.19177,0.18002,0.1985,0.19893
['HSY'],0.8841423076923077,0.21192,0.23625,0.25826,0.29357
['HUBB'],0.7726515384615384,0.2314,0.23284,0.2478,0.28796
['HUM'],0.8651838461538462,0.17017,0.16554,0.19842,0.15819
['HWM'],0.8725061538461538,0.26048,0.24896,0.27508,0.21548
['IBM'],0.7852384615384617,0.20768,0.22368,0.22376,0.34488
['ICE'],0.8008407692307693,0.173,0.19411,0.18682,0.29222
['IDXX'],0.7524069230769231,0.21481,0.22396,0.23056,0.33067
['IEX'],0.8338292307692308,0.1914,0.20949,0.21309,0.38603
['IFF'],0.8222084615384614,0.22216,0.21413,0.26501,0.29869
['INCY'],0.8401269230769232,0.19758,0.21117,0.21848,0.29585
['INTC'],0.8654223076923077,0.24651,0.21009,0.26329,0.28011
['INTU'],0.7667076923076924,0.20305,0.21626,0.23746,0.18939
['INVH'],0.8626407692307693,0.18235,0.2001,0.20093,0.26277
['IPG'],0.8767692307692309,0.19418,0.19681,0.20568,0.24948
['IP'],0.7739676923076921,0.22891,0.22369,0.25402,0.29339
['IQV'],0.8900353846153847,0.20846,0.19335,0.21879,0.22555
['IRM'],0.8779953846153846,0.21748,0.22762,0.20176,0.19928
['IR'],0.9116592307692307,0.23878,0.23178,0.28451,0.24493
['ITW'],0.8665138461538462,0.24044,0.24624,0.26218,0.25114
['IT'],0.8015123076923077,0.20825,0.2108,0.19044,0.23667
['IVZ'],0.8367576923076924,0.19477,0.19154,0.21233,0.24751
['JBHT'],0.8034046153846154,0.24658,0.241,0.22916,0.28325
['JBL'],0.8096023076923078,0.19957,0.23183,0.23439,0.33422
['JCI'],0.8835592307692308,0.23388,0.2343,0.27667,0.25515
['JKHY'],0.7955838461538461,0.19118,0.20487,0.21113,0.23897
['JNJ'],0.727066923076923,0.23841,0.25906,0.23737,0.26516
['JNPR'],0.843973076923077,0.23514,0.2277,0.23217,0.30498
['J'],0.7992061538461537,0.18787,0.19733,0.18641,0.27455
['KDP'],0.7570523076923076,0.2389,0.20288,0.22054,0.33768
['KEY'],0.903446153846154,0.16582,0.17859,0.15184,0.11913
['KHC'],0.8986853846153847,0.21347,0.2256,0.24752,0.3134
['KIM'],0.8589923076923078,0.19667,0.20602,0.2014,0.24207
['KKR'],0.8395884615384617,0.16847,0.16674,0.17184,0.33911
['KLAC'],0.8175530769230768,0.19354,0.21005,0.25084,0.34556
['KMB'],0.7633338461538461,0.24498,0.25963,0.22357,0.27182
['KMI'],0.8463223076923077,0.22948,0.22623,0.23125,0.31304
['KMX'],0.8394738461538461,0.26061,0.27493,0.20687,0.25758
['KO'],0.8538923076923077,0.23902,0.23817,0.22247,0.30033
['KR'],0.8020330769230769,0.26573,0.26961,0.24125,0.2234
['KVUE'],0.7675692307692308,0.25004,0.22874,0.28392,0.23729
['K'],0.8043253846153846,0.21793,0.23693,0.2111,0.33404
['LDOS'],0.7906623076923076,0.23412,0.2513,0.27553,0.23904
['LEN'],0.8345284615384615,0.28835,0.24264,0.24188,0.22714
['LHX'],0.7956376923076923,0.24804,0.26997,0.28633,0.19566
['LH'],0.8203223076923076,0.24588,0.26347,0.25337,0.23728
['LIN'],0.8448207692307693,0.2501,0.24102,0.27481,0.23407
['LKQ'],0.7462915384615385,0.24771,0.23635,0.25926,0.25668
['LLY'],0.7824600000000002,0.2427,0.25638,0.26652,0.2344
['LMT'],0.8060661538461537,0.24048,0.21935,0.24365,0.29652
['LNT'],0.8429492307692308,0.24151,0.21893,0.25571,0.28385
['LOW'],0.8459053846153846,0.23981,0.23777,0.20881,0.23668
['LRCX'],0.812813846153846,0.24152,0.24977,0.25063,0.25808
['LULU'],0.8146907692307691,0.19915,0.20704,0.25671,0.26018
['LVS'],0.833656923076923,0.25896,0.2504,0.26153,0.22911
['LW'],0.7820638461538463,0.2579,0.26153,0.22411,0.25646
['LYB'],0.7971269230769232,0.24708,0.24705,0.2337,0.27217
['LYV'],0.8616076923076924,0.25274,0.25777,0.22466,0.26483
['L'],0.8680384615384615,0.17284,0.16727,0.14524,0.20696
['MAA'],0.8959192307692306,0.17115,0.17412,0.17076,0.2532
['MAR'],0.8786307692307692,0.22535,0.21532,0.21872,0.18677
['MAS'],0.7972853846153846,0.2029,0.1895,0.19706,0.41055
['MA'],0.9107815384615385,0.21835,0.20032,0.19379,0.23369
['MCD'],0.7735046153846153,0.23341,0.22286,0.24683,0.2969
['MCHP'],0.833996923076923,0.26976,0.25735,0.22228,0.25062
['MCK'],0.833543846153846,0.23568,0.2684,0.23453,0.26139
['MCO'],0.8613376923076923,0.15702,0.23928,0.20425,0.2456
['MDLZ'],0.7947676923076923,0.20759,0.20877,0.19713,0.38651
['MDT'],0.785286153846154,0.19496,0.19907,0.28227,0.3237
['META'],0.8921815384615382,0.16063,0.16801,0.17249,0.2681
['MGM'],0.8488500000000001,0.24532,0.25818,0.2353,0.26119
['MHK'],0.8769738461538462,0.24519,0.25337,0.24152,0.25992
['MKC'],0.8498076923076923,0.24442,0.25717,0.26527,0.23313
['MKTX'],0.9107830769230768,0.19145,0.20082,0.19509,0.18187
['MLM'],0.7123,0.24787,0.23092,0.24552,0.27569
['MMC'],0.85281,0.21592,0.20655,0.20621,0.21747
['MMM'],0.8122276923076923,0.26353,0.26413,0.25297,0.21936
['MNST'],0.8977046153846154,0.14947,0.17016,0.16418,0.2085
['MOS'],0.8311753846153844,0.23135,0.22824,0.18281,0.3576
['MPC'],0.8317953846153846,0.21542,0.23634,0.28745,0.26078
['MPWR'],0.7719861538461539,0.16214,0.21655,0.20104,0.34334
['MRK'],0.796706923076923,0.21441,0.21109,0.23405,0.34045
['MRNA'],0.8049692307692309,0.21825,0.19801,0.22177,0.28505
['MRO'],0.8402523076923077,0.24177,0.24334,0.23026,0.28463
['MSCI'],0.8541992307692307,0.20362,0.16587,0.19832,0.27834
['MSFT'],0.8236761538461539,0.28348,0.27691,0.19971,0.2399
['MSI'],0.8063176923076922,0.23443,0.22234,0.23415,0.30907
['MS'],0.8645676923076923,0.18926,0.19962,0.18088,0.12254
['MTB'],0.8626407692307693,0.15915,0.15362,0.1658,0.13682
['MTCH'],0.8293307692307693,0.19839,0.21873,0.2418,0.18724
['MTD'],0.80724,0.22107,0.20853,0.2068,0.3636
['NCLH'],0.870173076923077,0.23499,0.2239,0.24357,0.29754
['NDAQ'],0.8076684615384615,0.22084,0.20395,0.24024,0.18112
['NDSN'],0.7552946153846153,0.21819,0.24583,0.2368,0.29918
['NEE'],0.8241992307692307,0.26118,0.25057,0.25456,0.23369
['NEM'],0.8649892307692307,0.2736,0.26248,0.24936,0.21455
['NFLX'],0.8613492307692308,0.21809,0.19949,0.20405,0.22452
['NI'],0.7644792307692309,0.25726,0.23502,0.24186,0.26586
['NKE'],0.7549230769230769,0.26701,0.24355,0.24193,0.24752
['NOC'],0.8437238461538462,0.24709,0.2552,0.23343,0.26428
['NRG'],0.81917,0.24934,0.25398,0.25096,0.24572
['NSC'],0.7810223076923077,0.2339,0.22555,0.23534,0.30521
['NTAP'],0.7333846153846154,0.26873,0.23642,0.26318,0.23167
['NTRS'],0.924426153846154,0.12801,0.1429,0.12957,0.13799
['NUE'],0.8089915384615385,0.21161,0.24595,0.27027,0.27216
['NVDA'],0.7402346153846153,0.27999,0.27667,0.21444,0.22891
['NVR'],0.8432476923076921,0.2047,0.20236,0.20635,0.30967
['NWSA'],0.8397846153846154,0.1579,0.17605,0.23758,0.27462
['NWS'],0.839806923076923,0.18642,0.1544,0.23844,0.2669
['NXPI'],0.8347269230769231,0.25829,0.25258,0.24512,0.244
['ODFL'],0.895516923076923,0.15862,0.1776,0.18685,0.24616
['OKE'],0.8003615384615383,0.22835,0.22963,0.23172,0.3103
['OMC'],0.8178307692307694,0.25348,0.22359,0.23093,0.292
['ON'],0.8838823076923077,0.22912,0.21341,0.25222,0.30525
['ORCL'],0.8214292307692308,0.18754,0.20646,0.22885,0.2233
['ORLY'],0.83255,0.25762,0.24499,0.25392,0.24347
['OTIS'],0.8407900000000001,0.21463,0.20644,0.26495,0.31398
['OXY'],0.8761823076923078,0.22756,0.229,0.24448,0.29895
['O'],0.7602461538461539,0.25776,0.23714,0.23896,0.26615
['PANW'],0.8231315384615384,0.19613,0.18697,0.21079,0.25226
['PARA'],0.8722692307692306,0.2558,0.24496,0.26938,0.22987
['PAYC'],0.8458330769230771,0.22293,0.23193,0.24277,0.22545
['PCAR'],0.8583815384615383,0.26248,0.26399,0.24863,0.2249
['PCG'],0.8405723076923077,0.21163,0.23637,0.25944,0.29256
['PEG'],0.7607099999999998,0.22765,0.23941,0.22055,0.3124
['PEP'],0.8395023076923077,0.22752,0.2282,0.21404,0.33025
['PFE'],0.7313530769230769,0.22409,0.23819,0.24191,0.2958
['PFG'],0.8243692307692307,0.15807,0.19593,0.16409,0.17423
