Ticker,Avg Stock Price All Time,Stock Trend,Average Returns % (Mean),Standard Deviation,"Cov (Stock, Market)",Variance (Market),Beta,"R2_score (Indicators: GDP, Inf, Unemp, CCI)"
GNRC,107.13,Decreasing,24.72,60.01,0.0489,0.3601,0.14,0.89782226429139
GOOGL,64.84,Decreasing,19.73,19.37,0.0206,0.0375,0.55,0.9542894876456972
GOOG,64.73,Decreasing,19.94,19.84,0.0209,0.0394,0.53,0.959729080562787
GPC,90.85,Decreasing,11.02,13.03,0.008,0.017,0.47,0.9687254804172702
GPN,100.05,Increasing,18.86,23.52,0.0062,0.0553,0.11,0.9678036402584071
GRMN,65.96,Decreasing,16.6,23.51,0.0205,0.0553,0.37,0.9532604308979551
GS,211.22,Decreasing,12.46,26.58,0.0291,0.0707,0.41,0.9288571268951795
GWW,315.03,Decreasing,14.68,19.64,0.0015,0.0386,0.04,0.9565799326024444
HAL,32.95,Increasing,5.08,32.95,0.0143,0.1085,0.13,0.8758168441675133
HAS,63.65,Increasing,7.27,19.15,0.0135,0.0367,0.37,0.9480558350341451
HBAN,9.46,Increasing,9.75,22.23,0.0245,0.0494,0.5,0.9325036971757614
HCA,123.7,Decreasing,23.44,23.76,0.0238,0.0564,0.42,0.9542500685207042
HD,175.13,Decreasing,18.57,12.33,0.0097,0.0152,0.64,0.9607840182792979
HES,68.84,Decreasing,12.44,28.58,0.01,0.0817,0.12,0.9544738881925353
HIG,45.41,Decreasing,13.11,18.01,0.0171,0.0324,0.53,0.9621979862214465
HII,157.59,Increasing,17.48,21.84,0.0088,0.0477,0.18,0.984268789593094
HLT,82.93,Decreasing,14.65,17.22,0.0158,0.0296,0.53,0.9739129598478674
HOLX,47.84,Decreasing,14.45,15.16,0.006,0.023,0.26,0.9468413793186292
HON,129.04,Decreasing,12.88,12.0,0.0132,0.0144,0.92,0.9725581986525883
HPQ,17.59,Decreasing,17.24,27.15,0.0285,0.0737,0.39,0.9589719935035902
HRL,32.67,Increasing,9.73,14.35,-0.0031,0.0206,-0.15,0.9547985938441701
HSIC,62.52,Increasing,7.52,10.09,0.0052,0.0102,0.51,0.948722605845349
HST,14.29,Increasing,4.55,17.31,0.0156,0.03,0.52,0.8960872967318586
HSY,120.16,Decreasing,12.91,12.88,0.0002,0.0166,0.01,0.9752167053043543
HUBB,131.78,Decreasing,14.49,15.11,0.0076,0.0228,0.33,0.950755386295115
HUM,276.72,Decreasing,21.23,17.37,0.0059,0.0302,0.2,0.9652674934851532
IBM,109.37,Decreasing,1.52,7.97,0.0024,0.0063,0.38,0.922418757736942
ICE,71.1,Decreasing,13.9,9.48,0.009,0.009,1.0,0.9771571502606331
IDXX,247.94,Decreasing,29.08,26.52,0.0257,0.0703,0.37,0.9500518255934113
IEX,129.09,Increasing,16.06,12.72,0.0122,0.0162,0.75,0.9763206376628601
IFF,99.95,Increasing,3.97,15.7,0.0131,0.0246,0.53,0.9108278567650976
INCY,77.83,Increasing,15.65,42.27,0.0116,0.1787,0.06,0.8574555532994994
INTC,34.48,Decreasing,8.58,17.81,0.0101,0.0317,0.32,0.9588456795116446
INTU,234.03,Decreasing,24.67,19.71,0.0202,0.0388,0.52,0.9525406705609026
IPG,19.67,Decreasing,14.27,23.58,0.0229,0.0556,0.41,0.9413922458068481
IP,33.6,Decreasing,3.57,19.61,0.0226,0.0385,0.59,0.8171714759798756
IQV,126.65,Decreasing,18.22,17.84,0.019,0.0318,0.6,0.9661452922188137
IRM,27.71,Decreasing,15.52,18.38,0.013,0.0338,0.38,0.96529035871497
ISRG,155.88,Increasing,21.23,21.64,0.0135,0.0468,0.29,0.9710583180401251
ITW,134.05,Decreasing,16.1,11.1,0.0077,0.0123,0.63,0.956387977894609
IT,157.59,Decreasing,22.1,25.71,0.026,0.0661,0.39,0.9632894101109822
IVZ,19.12,Increasing,2.63,38.15,0.0423,0.1455,0.29,0.8622093924952074
JBHT,111.41,Decreasing,11.61,13.99,0.0129,0.0196,0.66,0.9618249794497761
JBL,37.09,Decreasing,21.41,26.41,0.0128,0.0698,0.18,0.9380375848295898
JCI,38.91,Decreasing,11.48,25.73,0.0259,0.0662,0.39,0.9314258996148157
JKHY,112.3,Increasing,14.73,12.99,-0.001,0.0169,-0.06,0.9856155909530234
JNJ,113.44,Decreasing,9.66,7.83,0.0051,0.0061,0.84,0.9602758433535419
JNPR,22.45,Decreasing,7.0,11.77,0.01,0.0138,0.72,0.9550612324455782
JPM,86.2,Increasing,15.41,18.98,0.0196,0.036,0.54,0.9684279880570241
J,77.04,Decreasing,10.47,17.65,0.0116,0.0312,0.37,0.9624166873644721
