Ticker,Current Assets,Quick Ratio,Debt To Equity Ratio,Total Debt To Total Capitalization Ratio,Debt To Assets Ratio,Net Debt To Equity Ratio,Return On Equity,Return On Assets,Return On Investment,Gross Profit Margin,Asset Turnover,Inventory Turnover,Receivables Turnover,GDP,Inflation,Unemployment,CCI
FDX,0.89833,0.85712,0.80947,0.86639,0.69367,0.83488,0.8354,0.83932,0.90352,0.58198,0.72206,0.89298,0.83049,0.26028,0.26363,0.23214,0.24395
FE,0.92872,0.94226,0.93408,0.88771,0.86265,0.93116,0.88019,0.80583,0.8357,0.95117,0.95679,0.90473,0.97066,0.22148,0.20115,0.22972,0.34765
FFIV,0.75063,0.77412,0.80131,0.77615,0.90601,1.0,0.73444,0.57812,0.7445,0.89388,0.75006,0.82704,0.9406,0.24295,0.22276,0.2001,0.25727
FICO,0.8591,1.0,0.71716,0.89535,0.94062,0.7674,0.68924,0.86716,0.88682,0.93778,0.95193,1.0,0.75301,0.20404,0.19799,0.21601,0.22812
FIS,0.71337,1.0,0.931,0.93392,0.95244,0.92568,0.89478,0.89076,0.91849,0.88623,0.82469,1.0,0.91831,0.1937,0.20763,0.21778,0.22705
FITB,1.0,1.0,0.8792,0.91994,0.84768,0.88487,0.82223,0.83631,0.72046,1.0,0.97911,1.0,0.68199,0.15538,0.15407,0.19557,0.18728
FI,0.82272,1.0,0.86097,0.86662,0.9544,0.86377,0.95312,0.98212,0.94205,0.92166,0.74548,1.0,0.92633,0.20201,0.20662,0.22236,0.21517
FMC,0.70011,0.78624,0.88623,0.93889,0.63621,0.89021,0.77763,0.82495,0.83329,0.9593,0.71242,0.86668,0.64676,0.25626,0.2653,0.24418,0.23426
FOXA,0.79192,0.67088,0.77415,0.7497,0.76453,0.82789,0.8406,0.88894,0.86343,1.0,0.8911,1.0,0.68407,0.18955,0.17489,0.22301,0.25869
FOX,0.76827,0.83135,0.70361,0.78176,0.77996,0.86472,0.89267,0.83322,0.85106,1.0,0.85926,1.0,0.77496,0.19158,0.1958,0.20466,0.2541
FRT,0.72048,1.0,0.85997,0.94441,0.80319,0.67785,0.74066,0.77369,0.78286,0.8446,0.91752,1.0,0.68309,0.19233,0.18166,0.19637,0.27579
FSLR,0.72663,0.77487,0.7034,0.68644,0.73558,1.0,0.75846,0.66411,0.70095,0.67665,0.9464,0.67611,0.74157,0.17166,0.18057,0.17784,0.39301
FTNT,0.87632,0.81697,0.84791,0.89222,0.81986,1.0,0.74041,0.8516,0.83563,0.6815,0.8112,0.85024,0.75672,0.23027,0.2138,0.27251,0.2065
